Feature,SHAP_Importance
OverTime,0.07068608681013827
JobLevel,0.043829096021655745
YearsWithCurrManager,0.04325444378313586
StockOptionLevel,0.042909496634363435
MaritalStatus,0.037837578807443484
Age,0.03087481914228029
YearsAtCompany,0.03010994936105197
NumCompaniesWorked,0.02789508788575785
TotalWorkingYears,0.023634195748056943
EnvironmentSatisfaction,0.022088267782262933
JobSatisfaction,0.021259121327127758
YearsInCurrentRole,0.019803262088115323
WorkLifeBalance,0.019548869194732966
Department,0.01836272997350563
RelationshipSatisfaction,0.017597788095904895
DistanceFromHome,0.014226923311092685
MonthlyIncome,0.01389935642663593
JobRole,0.01355492351654534
JobInvolvement,0.013181683193528826
Education,0.009363255694819965
YearsSinceLastPromotion,0.008824186044378936
TrainingTimesLastYear,0.008236876270587442
EducationField,0.008099197069995633
HourlyRate,0.007379343748950709
PercentSalaryHike,0.006191921632527656
BusinessTravel,0.005219054103561083
Gender,0.0051391820173859355
DailyRate,0.004591902379199733
MonthlyRate,0.004201153091782129
PerformanceRating,0.0015970385903833044
